realname,team
A.C. Green,DAL
A.C. Green,LAL
A.C. Green,MIA
A.C. Green,PHO
A.C. Green,TOT
A.J. Bramlett,CLE
A.J. English,WSB
A.J. Guyton,CHI
A.J. Guyton,GSW
A.J. Hammons,DAL
A.J. Price,CLE
A.J. Price,IND
A.J. Price,MIN
A.J. Price,PHO
A.J. Price,TOT
A.J. Price,WAS
A.J. Wynder,BOS
A.W. Holt,CHI
Aaron Brooks,CHI
Aaron Brooks,DEN
Aaron Brooks,HOU
Aaron Brooks,IND
Aaron Brooks,MIN
Aaron Brooks,PHO
Aaron Brooks,SAC
Aaron Brooks,TOT
Aaron Gordon,ORL
Aaron Gray,CHI
Aaron Gray,NOH
Aaron Gray,SAC
Aaron Gray,TOR
Aaron Gray,TOT
Aaron Harrison,CHO
Aaron Harrison,DAL
Aaron Jackson,HOU
Aaron James,NOJ
Aaron McKie,DET
Aaron McKie,LAL
Aaron McKie,PHI
Aaron McKie,POR
Aaron McKie,TOT
Aaron Miles,GSW
Aaron Swinson,PHO
Aaron Williams,DEN
Aaron Williams,LAC
Aaron Williams,MIL
Aaron Williams,NJN
Aaron Williams,NOK
Aaron Williams,SEA
Aaron Williams,TOR
Aaron Williams,TOT
Aaron Williams,UTA
Aaron Williams,VAN
Aaron Williams,WAS
Abdel Nader,BOS
Abdul Jeelani,DAL
Abdul Jeelani,POR
Acie Earl,BOS
Acie Earl,MIL
Acie Earl,TOR
Acie Earl,TOT
Acie Law,ATL
Acie Law,CHA
Acie Law,CHI
Acie Law,GSW
Acie Law,MEM
Acie Law,TOT
Adam Harrington,DAL
Adam Harrington,DEN
Adam Harrington,TOT
Adam Keefe,ATL
Adam Keefe,GSW
Adam Keefe,UTA
Adam Morrison,CHA
Adam Morrison,LAL
Adam Morrison,TOT
Adonal Foyle,GSW
Adonal Foyle,MEM
Adonal Foyle,ORL
Adonal Foyle,TOT
Adonis Jordan,DEN
Adonis Jordan,MIL
Adonis Thomas,ORL
Adonis Thomas,PHI
Adonis Thomas,TOT
Adreian Payne,ATL
Adreian Payne,MIN
Adreian Payne,ORL
Adreian Payne,TOT
Adrian Branch,LAL
Adrian Branch,MIN
Adrian Branch,NJN
Adrian Branch,POR
Adrian Caldwell,DAL
Adrian Caldwell,HOU
Adrian Caldwell,IND
Adrian Caldwell,NJN
Adrian Caldwell,PHI
Adrian Caldwell,TOT
